control,json,lmax,n_sims,nside,run_id,run_role,seed,v1_mean_nu_peak,v1_mean_peak_height,v1_obs_nu_peak,v1_obs_peak_height
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22181165496/gaussian_control__mf_v0_v1__lmax128__nside256__nsims2000__seed731__gauss901__run22181165496.json,128,2000,256,22181165496,control,731,-0.09999999999999964,271.2174307234016,-0.19999999999999973,281.0988207993301
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22278385233/gaussian_control__mf_v0_v1__lmax128__nside256__nsims2000__seed731__gauss902__run22278385233.json,128,2000,256,22278385233,control,731,-0.09999999999999964,372.0693263726673,-0.19999999999999973,393.92789865791957
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22278396919/gaussian_control__mf_v0_v1__lmax128__nside256__nsims2000__seed731__gauss903__run22278396919.json,128,2000,256,22278396919,control,731,-0.09999999999999964,361.052566209257,-0.19999999999999973,369.66463716908424
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22182466399/gaussian_control__mf_v0_v1__lmax192__nside256__nsims2000__seed731__gauss901__run22182466399.json,192,2000,256,22182466399,control,731,-0.09999999999999964,577.5218019984361,-0.09999999999999964,594.2516817307159
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22278411338/gaussian_control__mf_v0_v1__lmax192__nside256__nsims2000__seed731__gauss902__run22278411338.json,192,2000,256,22278411338,control,731,0.0,698.8506283757537,0.0,714.0061189211731
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22278426611/gaussian_control__mf_v0_v1__lmax192__nside256__nsims2000__seed731__gauss903__run22278426611.json,192,2000,256,22278426611,control,731,0.0,641.944308613218,0.10000000000000009,647.9036674692538
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22181076396/gaussian_control__mf_v0_v1__lmax256__nside256__nsims2000__seed731__gauss901__run22181076396.json,256,2000,256,22181076396,control,731,-0.09999999999999964,906.5473603435482,-0.19999999999999973,913.0206478100632
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22275330693/gaussian_control__mf_v0_v1__lmax256__nside256__nsims2000__seed731__gauss901__run22275330693.json,256,2000,256,22275330693,control,731,-0.09999999999999964,906.5473603435482,-0.19999999999999973,913.0206478100632
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22275359759/gaussian_control__mf_v0_v1__lmax256__nside256__nsims2000__seed731__gauss902__run22275359759.json,256,2000,256,22275359759,control,731,0.0,935.0758764985428,-0.09999999999999964,943.987722180775
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22275366852/gaussian_control__mf_v0_v1__lmax256__nside256__nsims2000__seed731__gauss903__run22275366852.json,256,2000,256,22275366852,control,731,0.0,957.4426395996892,-0.09999999999999964,976.6522910827034
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22182497771/gaussian_control__mf_v0_v1__lmax320__nside256__nsims2000__seed731__gauss901__run22182497771.json,320,2000,256,22182497771,control,731,0.0,1255.0825386696179,0.0,1265.1787717781106
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22258888124/gaussian_control__mf_v0_v1__lmax320__nside256__nsims2000__seed731__gauss901__run22258888124.json,320,2000,256,22258888124,control,731,0.0,1255.0825386696179,0.0,1265.1787717781106
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22278438225/gaussian_control__mf_v0_v1__lmax320__nside256__nsims2000__seed731__gauss902__run22278438225.json,320,2000,256,22278438225,control,731,0.0,1273.8826051435456,0.0,1265.9421028265772
gaussian_synalm_from_(dat_minus_mf)_cl,experiments/rgpx_proof_proto/cmb_phase_dagger/results/topology_mf_v0_v1/controls/gaussian/runs/22278448883/gaussian_control__mf_v0_v1__lmax320__nside256__nsims2000__seed731__gauss903__run22278448883.json,320,2000,256,22278448883,control,731,0.0,1287.5193669079579,-0.09999999999999964,1287.35045947692
